adsh,ddate,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,InterestExpense,Liabilities,LiabilitiesCurrent,LongTermDebtNoncurrent,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,StockholdersEquity,current_ratio,cash_ratio,debt_to_equity,debt_to_assets,net_profit_margin,return_on_assets,return_on_equity,free_cash_flow,operating_cf_ratio,risk_score,risk_category
0000002178-24-000035,20221231,215813000.0,250143000.0,20532000.0,1287000.0,290982000.0,231060000.0,107203000.0,13777000.0,3487000.0,303000.0,1020572.5,0.0,93177000.0,0.7336118014401825,0.08513131076350872,1.4165556192673106,1.3483061724733914,-0.0472917516538927,0.01615750673036379,0.03742339847816521,-1621403.0,0.047346571265576565,0.8875440461410812,2
0000002178-24-000035,20231231,361334000.0,232471000.0,33256000.0,3384000.0,268618000.0,210787000.0,107203000.0,30275000.0,212000.0,17029000.0,1020572.5,323000.0,21802000.0,0.7433038483604799,0.1464962943384798,2.5893264423964246,0.7434063774790084,0.6563467492260062,0.0005867147846590688,0.009723878543252913,-1621403.0,0.11270652003961015,1.148458721402498,2
0000002969-24-000056,20230930,32002500000.0,3097100000.0,78200000.0,1277965.0,16342200000.0,3895800000.0,107203000.0,-71959.5,-53800000.0,16900000.0,4626400000.0,5192900000.0,14312900000.0,0.5849962988448245,0.01987409436926609,0.7616378147977313,0.510653855167565,-0.01036029963989293,-0.001681118662604484,-0.0037588469143220453,-1621403.0,-0.02290416915119129,0.9467052313544069,2
0000002969-24-000056,20240930,4393900000.0,3197200000.0,34500000.0,1277965.0,20900900000.0,1138300000.0,107203000.0,-71959.5,3828200000.0,859200000.0,6796700000.0,0.0,17036500000.0,1.3373010224860442,0.029858130801216087,0.8005793316590495,4.756799198889369,-0.0472917516538927,0.8712533284781174,0.22470577876911338,-1621403.0,-0.02290416915119129,0.0957531381507319,1
0000002969-25-000055,20240930,39574600000.0,6363000000.0,2979700000.0,1277965.0,20900900000.0,4179600000.0,107203000.0,-71959.5,3828200000.0,4466100000.0,6796700000.0,12100600000.0,17036500000.0,0.9252086438319455,0.5381966626522624,0.8005793316590495,0.5281392610411729,0.3163644777944895,0.0967337635756268,0.22470577876911338,-1621403.0,-0.02290416915119129,-0.2571199101706371,1
0000002969-25-000055,20250930,41059500000.0,5825800000.0,1856000000.0,1277965.0,23709700000.0,4218600000.0,107203000.0,-71959.5,-394500000.0,-877000000.0,7022600000.0,12037300000.0,15024900000.0,0.8675119458223274,0.364612823986393,0.9470244326274366,0.5774473629732462,-0.03277313018700207,-0.00960800789098747,-0.02625641435217539,-1621403.0,-0.02290416915119129,0.13067623936891623,1
0000003499-24-000007,20221231,1397776000.0,14520073.0,194933000.0,1277965.0,1161277000.0,12204998.0,107203000.0,102549000.0,57632000.0,-1630000.0,1020572.5,205814000.0,33865000.0,0.8311600980251587,0.2999388915531042,3.5636382530910855,0.830803361912066,0.2800198237243336,0.04123121301267156,1.7018160342536541,-1621403.0,0.08830709641196717,1.1174219834419041,2
0000003499-24-000007,20231231,1403680000.0,14520073.0,531855000.0,1277965.0,1166023000.0,12204998.0,107203000.0,109111000.0,102413000.0,-1630000.0,1020572.5,224962000.0,5173000.0,0.8311600980251587,0.2999388915531042,5.422327936879291,0.8306900433147156,0.4552457748419733,0.07296036133591702,19.797602938333654,-1621403.0,0.09357534113821082,1.7134308478767841,2
0000003499-25-000004,20231231,1403680000.0,14520073.0,531855000.0,1277965.0,1166023000.0,12204998.0,107203000.0,109111000.0,102413000.0,-1630000.0,1020572.5,120351000.0,182336000.0,0.8311600980251587,0.2999388915531042,2.0007924376145843,0.8306900433147156,0.8509526302232636,0.07296036133591702,0.5616718585468585,-1621403.0,0.09357534113821082,0.6159998184964017,1
0000003499-25-000004,20241231,1341295000.0,14520073.0,338532000.0,1277965.0,1164436000.0,12204998.0,107203000.0,54106000.0,43444000.0,-1630000.0,1020572.5,226374000.0,176859000.0,0.8311600980251587,0.2999388915531042,2.026038039232415,0.8681431005110732,0.19191249878519617,0.03238959363898322,0.24564200860572546,-1621403.0,0.04646541329879873,0.6247881284306337,1
0000003570-24-000040,20221231,18905000000.0,5608000000.0,1353000000.0,1406000000.0,21664000000.0,6795000000.0,16198000000.0,10523000000.0,1428000000.0,4559000000.0,1830000000.0,2109000000.0,-2969000000.0,0.6017513312300854,0.18158545076145235,-2.1158618116131387,1.1459402274530548,0.6770981507823614,0.07553557259984131,-0.48097002357696195,8693000000.0,0.48573670605613,-6.524661377453369,0
0000003570-24-000040,20231231,43076000000.0,6331000000.0,575000000.0,1141000000.0,18805000000.0,1508000000.0,15606000000.0,8418000000.0,9881000000.0,15489000000.0,2121000000.0,135000000.0,5060000000.0,1.6483270056208208,0.3230248926930706,1.5510464671584856,0.43655399758566255,73.19259259259259,0.22938527254155447,1.9527667984189723,6297000000.0,0.4476469024195693,-5.119187296501917,0
0000003570-25-000033,20231231,43076000000.0,1219000000.0,575000000.0,1277965.0,34056000000.0,1508000000.0,23397000000.0,8418000000.0,9881000000.0,15489000000.0,2121000000.0,534000000.0,5060000000.0,0.5924178342776871,0.3230248926930706,2.0451651071506545,0.7906026557711952,18.50374531835206,0.22938527254155447,1.9527667984189723,6297000000.0,0.24718111346018323,-3.677394770306661,0
0000003570-25-000033,20241231,17345000000.0,4801000000.0,2638000000.0,1277965.0,33798000000.0,4441000000.0,22554000000.0,5394000000.0,3252000000.0,6128000000.0,2238000000.0,2676000000.0,5699000000.0,0.7328787361381094,0.46625307848208697,1.935933998802826,1.9485730758143558,1.2152466367713004,0.1874891899682906,0.5706264256887174,3156000000.0,0.1595952423220309,-1.8148172857959375,0
